Name,Link Wordpress,Actiu
27 LLETRES,https://festesmajorsdecatalunya.cat/27-lletres/,Si
3DTRES,https://festesmajorsdecatalunya.cat/3dtres/,Si
A MOSSEGADES,https://festesmajorsdecatalunya.cat/a-mossegades/,Si
ACTIVIJOC,https://festesmajorsdecatalunya.cat/activijoc/,Si
AERIAL PRODUCTIONS,https://festesmajorsdecatalunya.cat/aerial-productions/,Si
AFK VIRTUAL EVENTS,https://festesmajorsdecatalunya.cat/afk-virtual-events/,Si
AI CARAI,https://festesmajorsdecatalunya.cat/ai-carai/,Si
AIGUA,https://festesmajorsdecatalunya.cat/aigua/,Si
ALBAROCK,https://festesmajorsdecatalunya.cat/albarock/,Si
ALBERT LLORENS - DESCOBREIX LA MÀGIA,https://festesmajorsdecatalunya.cat/albert-llorens/,Si
ALEA TEATRE - TEATRE DE CARRER,https://festesmajorsdecatalunya.cat/alea-teatre/,Si
ALMA I LA MAR DE CONTES,https://festesmajorsdecatalunya.cat/alma-i-la-mar-de-contes/,Si
ALUCINARTE,https://festesmajorsdecatalunya.cat/alucinarte/,Si
ÁLVARO OREJA,https://festesmajorsdecatalunya.cat/alvaro-oreja/,Si
AMAGATOTIS,https://festesmajorsdecatalunya.cat/amagatotis/,Si
ANNA AMIGÓ,https://festesmajorsdecatalunya.cat/anna-amigo/,Si
ANTA JOIES,https://festesmajorsdecatalunya.cat/anta-joies/,Si
ANTONIO MARTÍNEZ,https://festesmajorsdecatalunya.cat/antonio-martinez/,Si
AREAMAPPING,https://festesmajorsdecatalunya.cat/areamapping/,Si
ART I FLAMENC,https://festesmajorsdecatalunya.cat/art-i-flamenc/,Si
ART-TIC SHOWS,https://festesmajorsdecatalunya.cat/art-tic-shows/,Si
ARTIXOC,https://festesmajorsdecatalunya.cat/artixoc/,Si
ASSEGURANCES PER ESDEVENIMENTS,https://festesmajorsdecatalunya.cat/assegurances-per-esdeveniments/,Si
ATRAPA-SOMNIS,https://festesmajorsdecatalunya.cat/atrapa-somnis/,Si
AUSERVI GROUP,https://festesmajorsdecatalunya.cat/auservi-group/,Si
BAAL,https://festesmajorsdecatalunya.cat/baal/,Si
BADULAQUE 80,https://festesmajorsdecatalunya.cat/badulaque-80/,Si
BALKUMBIA,https://festesmajorsdecatalunya.cat/balkumbia/,Si
BALLET DE BARCELONA,https://festesmajorsdecatalunya.cat/ballet-de-barcelona/,Si
BAND THE GRESCA,https://festesmajorsdecatalunya.cat/band-the-gresca/,Si
BAND THE MARXA,https://festesmajorsdecatalunya.cat/band-the-marxa/,Si
BANDA DE SABADELL,https://festesmajorsdecatalunya.cat/banda-de-sabadell/,Si
BANDA VILA DE FALSET,https://festesmajorsdecatalunya.cat/banda-vila-de-falset/,Si
BANDARRA STREET ORKESTRA,https://festesmajorsdecatalunya.cat/bandarra-street-orkestra/,Si
BANDIDOS,https://festesmajorsdecatalunya.cat/bandidos/,Si
BARBE'S INFLATE,https://festesmajorsdecatalunya.cat/barbes-inflate/,Si
BARBE'S SPUME,https://festesmajorsdecatalunya.cat/barbes-spume/,Si
BARCELONA BIG BLUES BAND,https://festesmajorsdecatalunya.cat/barcelona-big-blues-band/,Si
